对于常量，特征值为常量值，对于函数，特征值为参数个数，对于数组，特征值为数组长度
序号		名称		行数		种类		类型		特征值		地址		寄存器		
49		$t112		350		简单		int		-1		49		$t3		
50		$t113		350		简单		int		-1		50		$t2		
51		$t114		350		简单		int		-1		51		$t1		
52		$t115		350		简单		int		-1		52		$t0		
53		$t116		350		简单		int		-1		53		$t0		
54		$t117		350		简单		int		-1		54		$t1		
55		$t118		350		简单		int		-1		55		$t0		
56		$t119		350		简单		int		-1		56		$t3		
57		$t120		350		简单		int		-1		57		$t2		
58		$t121		350		简单		int		-1		58		$t1		
59		$t122		350		简单		int		-1		59		$t0		
60		$t123		353		简单		int		-1		60		$t0		
61		$t124		353		简单		int		-1		61		$t0		
62		$t125		353		简单		int		-1		62		$t3		
63		$t126		353		简单		int		-1		63		$t2		
64		$t127		353		简单		int		-1		64		$t1		
65		$t128		353		简单		int		-1		65		$t0		
66		$t129		353		简单		int		-1		66		$t0		
67		$t130		353		简单		int		-1		67		$t1		
68		$t131		353		简单		int		-1		68		$t0		
69		$t132		353		简单		int		-1		69		$t1		
70		$t133		353		简单		int		-1		70		$t2		
71		$t134		353		简单		int		-1		71		$t0		
72		$t135		353		简单		int		-1		72		$t1		
73		$t136		353		简单		int		-1		73		$t0		
74		$t137		353		简单		int		-1		74		$t0		
75		$t138		356		简单		int		-1		75		$t0		
76		$t139		356		简单		int		-1		76		$t0		
77		$t140		356		简单		int		-1		77		$t3		
78		$t141		356		简单		int		-1		78		$t2		
79		$t142		356		简单		int		-1		79		$t1		
80		$t143		356		简单		int		-1		80		$t0		
81		$t144		356		简单		int		-1		81		$t0		
82		$t145		356		简单		int		-1		82		$t1		
83		$t146		356		简单		int		-1		83		$t0		
84		$t147		356		简单		int		-1		84		$t1		
85		$t148		356		简单		int		-1		85		$t2		
86		$t149		356		简单		int		-1		86		$t0		
87		$t150		356		简单		int		-1		87		$t1		
88		$t151		356		简单		int		-1		88		$t0		
89		$t152		356		简单		int		-1		89		$t0		
90		$t153		357		简单		int		-1		90		$t0		
91		$t154		357		简单		int		-1		91		$t1		
92		$t155		357		简单		int		-1		92		$t0		
93		$t156		357		简单		int		-1		93		$t0		
94		$t157		357		简单		int		-1		94		$t0		
95		$t158		360		简单		int		-1		95		$t4		
96		$t159		360		简单		int		-1		96		$t0		
97		$t160		360		简单		int		-1		97		$t0		
98		$t161		360		简单		int		-1		98		$t3		
99		$t162		360		简单		int		-1		99		$t2		
100		$t163		360		简单		int		-1		100		$t1		
101		$t164		360		简单		int		-1		101		$t0		
102		$t165		360		简单		int		-1		102		$t0		
103		$t166		360		简单		int		-1		103		$t1		
104		$t167		360		简单		int		-1		104		$t0		
105		$t168		360		简单		int		-1		105		$t1		
106		$t169		360		简单		int		-1		106		$t3		
107		$t170		360		简单		int		-1		107		$t0		
108		$t171		360		简单		int		-1		108		$t1		
109		$t172		360		简单		int		-1		109		$t0		
110		$t173		360		简单		int		-1		110		$t0		
111		$t174		361		简单		int		-1		111		$t0		
112		$t175		361		简单		int		-1		112		$t1		
113		$t176		361		简单		int		-1		113		$t0		
114		$t177		361		简单		int		-1		114		$t0		
115		$t178		361		简单		int		-1		115		$t0		
116		$t179		361		简单		int		-1		116		$t0		
117		$t180		361		简单		int		-1		117		$t0		
118		$t181		361		简单		int		-1		118		$t0		
119		$t182		361		简单		int		-1		119		$t5		
120		$t183		361		简单		int		-1		120		$t2		
121		$t184		361		简单		int		-1		121		$t1		
122		$t185		361		简单		int		-1		122		$t0		
123		$t186		361		简单		int		-1		123		$t0		
124		$t187		361		简单		int		-1		124		$t1		
125		$t188		361		简单		int		-1		125		$t0		
126		$t189		361		简单		int		-1		126		$t1		
127		$t190		361		简单		int		-1		127		$t2		
128		$t191		361		简单		int		-1		128		$t0		
129		$t192		361		简单		int		-1		129		$t1		
130		$t193		361		简单		int		-1		130		$t0		
131		$t194		361		简单		int		-1		131		$t0		
